MSTAR,A,PER
0.9,0.0349411,2.51462432
0.54,1.13179,598.3
0.94,0.4391850000000001,109.6471842
0.75,0.0832577,10.13202575
1.09,1.98227,974.0
1.13,0.0746694,7.01075434
1.34,3.6002,2146.0503
0.69,0.0552794,5.714932
0.78,0.13168,19.76172042
0.55,0.07889,10.912934300000002
0.62,0.202122,42.15164179999999
1.3,0.127324,14.5539759
0.93,0.016315200000000002,0.78884
1.09,0.022851,1.20846503
0.65,0.0902469,12.282356
1.3,0.0417621,2.7325321
0.68,0.06663469999999999,7.6188
1.145,2.36847,1244.0
1.06,0.181834,27.5073799
1.14,0.154158,20.7056504
1.09,0.152944,20.925392
0.89,0.157968,24.3078946
0.0,0.0,6.47027579
0.77,0.0481157,4.393147
0.77,0.0576393,5.75999
0.98,0.107432,12.99207337
2.41,4.9058,2556.5
1.17,1.1387200000000002,410.1
1.62,0.195757,24.85462415
1.02,0.316103,64.2737752
1.6,0.158693,18.249
0.83,1.66108,857.5
1.085,1.0238200000000002,363.2
0.95,0.0184414,0.93846683
1.02,2.3791,1319.0
0.77,0.13438599999999998,20.50586978
1.01,0.270431,51.1110243
0.91,0.0980725,11.759
0.84,0.119888,16.54297375
0.97,0.252883,47.1611696
1.13,0.595162,157.54
1.05,0.101644,11.55102504
0.85,0.048077,4.17625551
1.538,0.0948432,8.600153599999999
1.22,0.0201401,0.9414529
1.7480000000000002,4.6069,2730.0
1.05,0.0854177,8.886593
1.22,0.235594,37.8144514
0.8,0.0949095,11.94014029
0.97,0.0575745,5.12330347
0.49,0.0143082,0.89304124
0.89,2.19849,1260.0
1.072,1.30958,528.40002
0.257,0.0214313,2.260455
1.03,0.0291497,1.79111021
1.0,0.06702960000000001,6.33855761
0.82,0.0317279,2.27952666
0.75,0.0786582,9.30412078
1.068,4.75375,3658.0
0.94,0.0421448,3.2588321
0.86,0.775866,268.94
1.31,1.48605,577.9
1.1,0.114456,13.485
0.8,0.115768,16.08524954
1.11,2.07477,1035.7
1.002,3.18072,2068.0
1.308,0.0549707,4.1137912000000005
0.895,0.0167573,0.8374950000000001
1.0,0.07631289999999999,7.69993485
1.02,0.423716,99.747622
0.86,0.196353,34.2685705
0.98,1.41961,623.8
1.12,0.246993,42.3633
1.01,0.161485,23.58447697
0.97,0.11018,13.563097199999998
0.8,0.0738763,8.199796000000001
0.9,0.0184246,0.96286738
1.01,0.0715732,6.957999999999998
1.12,0.0328337,2.05333679
0.98,0.0902152,9.99761851
0.94,0.0340815,2.37030743
1.02,0.0600955,5.32786292
0.92,0.103131,12.61190667
1.16,0.0480157,3.56809693
0.74,0.0800702,9.62
1.232,1.04292,350.3
0.361,0.06525689999999999,10.13389
0.955,0.0316765,2.1061607
0.87,0.418342,105.9564148
0.79,0.0384536,3.0927616
1.16,0.12933499999999998,15.7738221
0.69,4.43476,4100.0
1.19,0.049935400000000005,3.735433
0.857,0.0882385,10.338523
0.91,0.216804,38.6519976
1.36,1.08217,352.2
1.3,1.80892,778.1
1.05,0.0374071,2.57885507
0.94,0.06325080000000001,5.99273738
0.7,0.4366310000000001,125.94
1.16,2.29553,1178.4
0.64,0.0747146,9.32414
1.01,0.0436419,3.3118644
1.126,0.0946483,10.02165
1.14,0.0375112,2.484193
1.18,0.06503450000000001,5.57654784
0.853,1.1598700000000002,493.7
0.31,0.028459,3.14945
0.97,0.7878430000000001,259.33683
0.91,0.042743300000000005,3.38353807
0.98,0.0509367,4.24153639
1.04,0.08000560000000001,8.10501635
1.39,0.370106,69.7546
1.24,1.19471,428.1
0.35,0.0386657,4.6938
1.0,0.8704780000000001,296.637865
0.83,0.0430059,3.57554956
0.8320000000000001,0.113438,15.299
0.83,0.0942979,11.6092567
1.26,0.0528415,3.9516205
0.995,2.85281,1749.83
0.76,0.0320135,2.39984
0.55,0.0436851,4.496860400000001
1.106,0.0485382,3.7130203
0.87,0.109579,14.20443009
1.05,0.102102,11.62905828
0.92,0.035902,2.5904434
1.1,0.0860862,8.79617863
0.954,0.0386362,2.838971
1.07,0.221683,36.855
0.929,0.0379273,2.79736
0.9,0.195344,33.2406882
0.98,0.146743,20.74028413
0.86,0.361924,85.7565495
0.97,0.0403268,3.00265
0.84,0.0284953,1.91694425
0.89,1.13739,469.63111
1.25,0.0351719,2.15491
0.73,0.0837217,10.35584657
1.092,0.089107,9.289715
0.96,1.9372,1001.7
1.6,2.099,875.5
0.75,0.0581375,5.91213
0.99,0.0521389,4.37034536
1.16,0.034262699999999986,2.150008
0.4,0.125354,25.63058
1.38,1.38575,507.0
1.41,0.0477112,3.1915426
0.96,0.0914589,10.3108245
0.85,0.103659,13.2217576
0.998,2.10235,1114.0
1.03,0.059090599999999986,5.16950177
1.06,0.0539414,4.44448017
1.09,0.6411899999999999,179.612
1.22,0.0406211,2.70730672
1.056,0.0466748,3.583893
0.77,0.376527,96.16987
1.71,0.682908,157.57
1.07,0.6893819999999999,201.99
1.02,0.0363001,2.49979
1.0,0.111348,13.5708
0.75,0.0502736,4.754
0.8,0.182381,31.80634
2.5,2.80589,1084.5
0.87,0.161025,25.30292332
0.93,0.104299,12.75759
1.065,1.06061,386.29999
0.78,0.274559,59.4970952
0.77,0.0282249,1.97376093
0.99,0.406991,95.2738
0.78,1.72685,937.70001
0.9,0.249018,47.84
0.94,0.123396,16.32976218
0.71,0.0863273,10.99469878
1.34,1.80264,763.0
0.601,0.0769351,10.05403
0.63,0.0794059,10.29672521
1.18,0.116229,13.32351601
1.0,0.0417858,3.1186009
